stage,system,switch_high,switch_low,hysteresis_count,loss_rate,rtt_ms,trials,integrity_failures,goodput_mean,goodput_stdev,completion_mean_s,retransmissions_mean,overhead_mean,switches_mean,gbn_residence_mean_s,sr_residence_mean_s
entry,hybrid,0.2,0.02,2,0.01,0.0,3,0,378174.2120957631,7307.1363107675215,0.6933556666666667,21.666666666666668,0.0778998778998779,0.0,0.691771,0.0
entry,hybrid,0.2,0.02,2,0.02,0.0,3,0,353732.9153120118,192913.34460363848,0.891555,29.666666666666668,0.10266059285667128,0.3333333333333333,0.8162936666666667,0.07323600000000001
entry,hybrid,0.2,0.02,2,0.05,0.0,3,0,89465.72618977202,20411.104121475884,3.0260870000000004,64.66666666666667,0.20132975322848742,1.0,1.5574000000000001,1.4674266666666667
entry,hybrid,0.2,0.02,2,0.1,0.0,3,0,54052.89739081409,14073.609536774253,5.073756,86.66666666666667,0.2526900590902453,1.0,2.7095276666666663,2.3625133333333337
entry,hybrid,0.2,0.02,2,0.2,0.0,3,0,28610.85919568375,6393.273212135869,9.440752333333334,135.33333333333334,0.34471819727680053,1.0,2.825763333333333,6.613093999999999
entry,hybrid,0.2,0.02,3,0.0,0.0,3,0,4938989.70471298,912326.8336643027,0.054406333333333334,0.0,0.0,0.0,0.05321733333333333,0.0
entry,hybrid,0.2,0.02,3,0.01,0.0,3,0,376063.77937630285,9607.42725092889,0.6973803333333333,21.666666666666668,0.0778998778998779,0.0,0.6953840000000001,0.0
entry,hybrid,0.2,0.02,3,0.02,0.0,3,0,342940.43976754876,186696.13874438856,0.9175796666666667,29.666666666666668,0.10266059285667128,0.3333333333333333,0.840462,0.07524133333333334
entry,hybrid,0.2,0.02,3,0.05,0.0,3,0,85090.16342152651,16232.36307088693,3.1504399999999997,76.66666666666667,0.22940017176677532,1.0,1.8934733333333333,1.2556180000000001
entry,hybrid,0.2,0.02,3,0.1,0.0,3,0,61521.12093477345,6177.562397052714,4.288577666666667,102.66666666666667,0.2852342040498679,1.0,2.3263659999999997,1.9606673333333333
entry,hybrid,0.2,0.02,3,0.2,0.0,3,0,25913.29563706597,5119.0450778820605,10.412070333333334,174.66666666666666,0.40290925293339336,1.0,4.004422333333333,6.405630666666667
entry,hybrid,0.35,0.02,1,0.0,0.0,3,0,4972745.495047893,555273.0847123549,0.053157,0.0,0.0,0.0,0.051573666666666663,0.0
entry,hybrid,0.35,0.02,1,0.01,0.0,3,0,375474.93693566974,3074.945313391519,0.6981976666666667,21.666666666666668,0.0778998778998779,0.0,0.6957583333333334,0.0
entry,hybrid,0.35,0.02,1,0.02,0.0,3,0,340691.09368196694,177029.8347146155,0.9082353333333333,29.666666666666668,0.10266059285667128,0.3333333333333333,0.8312926666666667,0.07506533333333332
entry,hybrid,0.35,0.02,1,0.05,0.0,3,0,91373.97958876455,9386.012331423528,2.8884556666666668,65.33333333333333,0.200476864010646,0.6666666666666666,1.5722656666666666,1.3139613333333333
entry,hybrid,0.35,0.02,1,0.1,0.0,3,0,68639.55073485935,5693.19059738182,3.8370893333333336,69.0,0.21206672511020339,1.0,1.3246273333333334,2.511253333333334
entry,hybrid,0.35,0.02,1,0.2,0.0,3,0,34279.28676687564,1263.9508570838982,7.654134333333334,108.33333333333333,0.29663392932090993,1.0,1.6844826666666668,5.967624666666667
entry,hybrid,0.35,0.02,2,0.0,0.0,3,0,4846961.422362309,372168.1640008556,0.05429433333333333,0.0,0.0,0.0,0.05271033333333333,0.0
entry,hybrid,0.35,0.02,2,0.01,0.0,3,0,380468.31818443415,4603.143125870992,0.6890703333333333,21.666666666666668,0.0778998778998779,0.0,0.6874703333333333,0.0
entry,hybrid,0.35,0.02,2,0.02,0.0,3,0,347130.48994444776,187356.3442646698,0.9045740000000001,29.666666666666668,0.10266059285667128,0.3333333333333333,0.8306049999999999,0.072528
entry,hybrid,0.35,0.02,2,0.05,0.0,3,0,86341.20995917797,14862.982408771673,3.094799666666667,75.66666666666667,0.22686382888769455,0.6666666666666666,1.9125813333333335,1.1803753333333333
entry,hybrid,0.35,0.02,2,0.1,0.0,3,0,61441.29125430204,10493.786821633857,4.347395333333333,99.0,0.2777407051916856,1.0,2.6648583333333336,1.680896333333333
entry,hybrid,0.35,0.02,2,0.2,0.0,3,0,28395.782818932727,6533.4090319198185,9.528985666666667,135.33333333333334,0.34471819727680053,1.0,2.8346096666666667,6.692637333333334
entry,hybrid,0.35,0.02,3,0.0,0.0,3,0,5272533.297949016,170349.10430448188,0.04975333333333334,0.0,0.0,0.0,0.048198333333333336,0.0
entry,hybrid,0.35,0.02,3,0.01,0.0,3,0,380507.0058758234,6753.758333253229,0.689078,21.666666666666668,0.0778998778998779,0.0,0.687236,0.0
entry,hybrid,0.35,0.02,3,0.02,0.0,3,0,339426.9425902647,174100.3827715513,0.9122523333333333,31.0,0.1064787672174813,0.0,0.9102756666666666,0.0
entry,hybrid,0.35,0.02,3,0.05,0.0,3,0,84859.3490429202,15614.59476593838,3.1548613333333333,78.0,0.2322350485022376,0.6666666666666666,1.976248,1.1773853333333333
entry,hybrid,0.35,0.02,3,0.1,0.0,3,0,60927.56913353334,7524.209368015972,4.343776666666667,118.33333333333333,0.31425410699527223,1.0,2.8166306666666667,1.525088
entry,hybrid,0.35,0.02,3,0.2,0.0,3,0,26571.356633317544,3846.082668927531,10.011634,176.66666666666666,0.405853812399692,1.0,4.0359066666666665,5.973776333333333
entry,hybrid,0.5,0.02,1,0.0,0.0,3,0,4394929.236283875,486791.30339277675,0.060122666666666665,0.0,0.0,0.0,0.05853266666666667,0.0
entry,hybrid,0.5,0.02,1,0.01,0.0,3,0,380224.20616455283,3624.8588092126765,0.6894876666666666,21.666666666666668,0.0778998778998779,0.0,0.6876730000000001,0.0
